Dates,Numbers
21/1/2,39
21/1/3,51
21/1/4,112
21/1/5,116
21/1/6,115
21/1/7,140
21/1/8,151
21/1/9,30
21/1/10,34
21/1/11,122
21/1/12,117
21/1/13,60
21/1/14,152
21/1/15,101
21/1/16,30
21/1/17,28
21/1/18,174
21/1/19,101
21/1/20,126
21/1/21,138
21/1/22,139
21/1/23,85
21/1/24,55
21/1/25,144
21/1/26,130
21/1/27,153
21/1/28,163
21/1/29,105
21/1/30,29
21/1/31,40
21/2/1,144
21/2/2,125
21/2/3,172
21/2/4,219
21/2/5,186
21/2/6,8
21/2/7,2
21/2/8,146
21/2/9,146
21/2/10,175
21/2/11,153
21/2/12,127
21/2/13,12
21/2/14,0
21/2/15,110
21/2/16,104
21/2/17,139
21/2/18,150
21/2/19,158
21/2/20,3
21/2/21,14
21/2/22,128
21/2/23,177
21/2/24,194
21/2/25,173
21/2/26,177
21/2/27,6
21/2/28,1
21/3/1,185
21/3/2,183
21/3/3,111
21/3/4,164
21/3/5,119
21/3/6,7
21/3/7,18
21/3/8,121
21/3/9,155
21/3/10,179
21/3/11,110
21/3/12,135
21/3/13,8
21/3/14,2
21/3/15,102
21/3/16,129
21/3/17,119
21/3/18,117
21/3/19,149
21/3/20,12
21/3/21,23
21/3/22,149
21/3/23,146
21/3/24,95
21/3/25,99
21/3/26,220
21/3/27,9
21/3/28,450
21/3/29,16
21/3/30,30
21/3/31,77
21/4/1,34
21/4/2,9
21/4/3,15
21/4/4,10
21/4/5,63
21/4/6,57
21/4/7,56
21/4/8,109
21/4/9,176
21/4/10,7
21/4/11,11
21/4/12,126
21/4/13,110
21/4/14,234
21/4/15,129
21/4/16,164
21/4/17,19
21/4/18,62
21/4/19,140
21/4/20,42
21/4/21,466
21/4/22,217
21/4/23,37
21/4/24,45
21/4/25,34
21/4/26,140
21/4/27,141
21/4/28,73
21/4/29,5
21/4/30,0
21/5/1,9
21/5/2,9
21/5/3,31
21/5/4,18
21/5/5,9
21/5/6,26
21/5/7,21
21/5/8,8
21/5/9,18
21/5/10,40
21/5/11,52
21/5/12,42
21/5/13,21
21/5/14,14
21/5/15,19
21/5/16,12
21/5/17,119
21/5/18,143
21/5/19,57
21/5/20,115
21/5/21,75
21/5/22,19
21/5/23,16
21/5/24,168
21/5/25,139
21/5/26,199
21/5/27,199
21/5/28,174
21/5/29,22
21/5/30,25
21/5/31,248
21/6/1,123
21/6/2,202
21/6/3,118
21/6/4,115
21/6/5,72
21/6/6,9
21/6/7,121
21/6/8,160
21/6/9,193
21/6/10,252
21/6/11,167
21/6/12,205
21/6/13,31
21/6/14,140
21/6/15,265
21/6/16,163
21/6/17,131
21/6/18,84
21/6/19,47
21/6/20,16
21/6/21,115
21/6/22,164
21/6/23,166
21/6/24,346
21/6/25,408
21/6/26,96
21/6/27,108
21/6/28,442
21/6/29,280
21/6/30,330
